month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,47371.723,6887,6.8778214
2020-01-01,Brooklyn,1,LCL/LTD,B41,Peak,20349.574,3220,6.3184996
2020-01-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,18836.732,2513,7.4941335
2020-01-01,Brooklyn,2,LCL/LTD,B41,Peak,7237.4883,999,7.2390265
2020-02-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43287.746,6444,6.7169743
2020-02-01,Brooklyn,1,LCL/LTD,B41,Peak,18443.928,2986,6.176257
2020-02-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,18647.652,2597,7.1794744
2020-02-01,Brooklyn,2,LCL/LTD,B41,Peak,6806.928,985,6.910285
2020-03-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,46315.38,6437,7.19464
2020-03-01,Brooklyn,1,LCL/LTD,B41,Peak,20509.982,3028,6.771225
2020-03-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,17013.057,2200,7.7301755
2020-03-01,Brooklyn,2,LCL/LTD,B41,Peak,6573.375,863,7.612344
2020-04-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,46153.723,5592,8.253235
2020-04-01,Brooklyn,2,LCL/LTD,B41,Peak,18333.703,2227,8.230963
2020-05-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,27220.658,3476,7.828982
2020-05-01,Brooklyn,1,LCL/LTD,B41,Peak,10676.932,1396,7.6437497
2020-05-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,22404.045,2763,8.107135
2020-05-01,Brooklyn,2,LCL/LTD,B41,Peak,8771.887,1091,8.034598
2020-06-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43824.13,6090,7.1952467
2020-06-01,Brooklyn,1,LCL/LTD,B41,Peak,18810.172,2716,6.925123
2020-06-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,12363.842,1594,7.753317
2020-06-01,Brooklyn,2,LCL/LTD,B41,Peak,3885.124,522,7.4332848
2020-07-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,48213.887,6873,7.014442
2020-07-01,Brooklyn,1,LCL/LTD,B41,Peak,20882.428,3032,6.8855677
2020-07-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16412.66,2206,7.4371047
2020-07-01,Brooklyn,2,LCL/LTD,B41,Peak,6027.274,830,7.2601385
2020-08-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,45721.74,6604,6.9228973
2020-08-01,Brooklyn,1,LCL/LTD,B41,Peak,19547.406,2885,6.7744236
