,route_id,average_speed,month_year
0,B41,6.8778214,01/2020
1,B41,6.3184996,01/2020
2,B41,7.4941335,01/2020
3,B41,7.2390265,01/2020
4,B41,6.7169743,02/2020
5,B41,6.176257,02/2020
6,B41,7.1794744,02/2020
7,B41,6.910285,02/2020
8,B41,7.19464,03/2020
9,B41,6.771225,03/2020
10,B41,7.7301755,03/2020
11,B41,7.612344,03/2020
12,B41,8.253235,04/2020
13,B41,8.230963,04/2020
14,B41,7.828982,05/2020
15,B41,7.6437497,05/2020
16,B41,8.107135,05/2020
17,B41,8.034598,05/2020
18,B41,7.1952467,06/2020
19,B41,6.925123,06/2020
20,B41,7.753317,06/2020
21,B41,7.4332848,06/2020
22,B41,7.014442,07/2020
23,B41,6.8855677,07/2020
24,B41,7.4371047,07/2020
25,B41,7.2601385,07/2020
26,B41,6.9228973,08/2020
27,B41,6.7744236,08/2020
28,B41,7.473289,08/2020
29,B41,7.3046527,08/2020
30,B41,7.0591435,09/2020
31,B41,6.7473335,09/2020
32,B41,7.5389686,09/2020
33,B41,7.432742,09/2020
34,B41,7.1779265,10/2020
35,B41,6.770704,10/2020
36,B41,7.5179996,10/2020
37,B41,7.305965,10/2020
38,B41,7.1944094,11/2020
39,B41,6.7879205,11/2020
40,B41,7.649992,11/2020
41,B41,7.636313,11/2020
42,B41,7.0640798,12/2020
43,B41,6.7181964,12/2020
44,B41,7.746526,12/2020
45,B41,7.5233316,12/2020
46,B41,7.306704,01/2021
47,B41,6.953158,01/2021
48,B41,7.8237014,01/2021
49,B41,7.6399946,01/2021
50,B41,6.9324374,02/2021
51,B41,6.5286217,02/2021
52,B41,7.5225453,02/2021
53,B41,7.3957725,02/2021
54,B41,7.1678796,03/2021
55,B41,6.8286195,03/2021
56,B41,7.5356417,03/2021
57,B41,7.3945923,03/2021
58,B41,7.0317,04/2021
59,B41,6.7037525,04/2021
60,B41,7.5084295,04/2021
61,B41,7.4652324,04/2021
62,B41,6.9729304,05/2021
63,B41,6.708968,05/2021
64,B41,7.360048,05/2021
